Serial Number,Shape Type,X,Y,Width,Height,Rotation,Frame Color,Fill Color,Is Filled
1369,Rectangle,57.54696492517951,109.04919363500653,10.0,10.0,-24.0,#000000,#80FF00,True
48,Triangle,60.786987052131224,100.15596173944164,10.0,10.0,12.0,#000000,#80FF00,True
1368,Rectangle,67.05640697820559,103.66258644385618,10.0,10.0,-24.0,#000000,#80FF00,True
47,Triangle,59.46786889810352,56.85925268295034,10.0,10.0,152.0,#000000,#80FF00,True
1367,Rectangle,50.83649097706217,66.47060277603703,10.0,10.0,97.2971940439019,#000000,#80FF00,True
1365,Rectangle,70.50307697647247,52.979561761008426,10.0,10.0,161.44236232923888,#000000,#80FF00,True
1364,Rectangle,81.57512827274542,48.606526869280515,10.0,10.0,168.41416111391962,#000000,#80FF00,True
1362,Rectangle,71.7108186090428,113.46972323603086,10.0,10.0,-24.0,#000000,#80FF00,True
1361,Rectangle,68.04000224343059,90.14987964581985,5.0,10.0,15.0,#000000,#80FF00,True
46,Triangle,10.680948282051133,67.41877391961202,10.0,10.0,4.0,#000000,#80FF00,True
1360,Rectangle,10.51842032536689,56.3668728650963,10.0,10.0,2.0,#000000,#80FF00,True
45,Triangle,21.22091365710901,67.09272950712398,10.0,10.0,-34.0,#000000,#80FF00,True
1359,Rectangle,12.564867307863722,74.14580431021272,10.0,10.0,50.0,#000000,#80FF00,True
1357,Rectangle,21.263023953002516,83.33617450817701,5.0,10.0,-51.0,#000000,#80FF00,True
1356,Rectangle,26.88474645352909,70.40553736918093,10.0,10.0,18.0,#000000,#80FF00,True
1355,Rectangle,37.14376434893114,74.46639861944413,10.0,10.0,20.0,#000000,#80FF00,True
1354,Rectangle,48.36456517202697,77.77920648150109,10.0,10.0,10.0,#000000,#80FF00,True
1353,Rectangle,57.87552967922272,86.22152329125879,10.0,10.0,14.0,#000000,#80FF00,True
1352,Rectangle,50.715590106390096,95.73248779845449,10.0,10.0,10.0,#000000,#80FF00,True
1351,Rectangle,39.49478928329415,93.16773332460411,10.0,10.0,16.0,#000000,#80FF00,True
1350,Rectangle,28.594582769429337,89.64119592305963,10.0,10.0,22.0,#000000,#80FF00,True
44,Triangle,60.660959902594186,75.25586210592598,10.0,10.0,-76.0,#000000,#80FF00,True
1343,Rectangle,69.82313322895288,78.14808489793336,10.0,10.0,-34.0,#000000,#80FF00,True
1342,Rectangle,91.12487536479262,66.08720729206891,5.0,10.0,31.0,#000000,#80FF00,True
1339,Rectangle,78.83335750490784,74.44156340789243,10.0,5.0,-22.422283474983423,#000000,#80FF00,True
1338,Rectangle,63.1148711125349,67.70061651375761,10.0,5.0,148.94416494589953,#000000,#80FF00,True
1337,Rectangle,73.71009149399924,63.23667866805988,10.0,5.0,165.58364868246497,#000000,#80FF00,True
1336,Rectangle,84.94176794474168,62.12729458502565,10.0,5.0,117.524178542286,#000000,#80FF00,True
1335,Rectangle,13.06405180717303,17.682329533873258,5.0,10.0,13.0,#000000,#80FF00,True
1334,Rectangle,49.22328422174763,86.11902566999095,5.0,10.0,99.0,#000000,#80FF00,True
1332,Rectangle,92.63808747571557,73.0183208305341,10.0,5.0,-57.56562058998644,#000000,#80FF00,True
1331,Rectangle,82.91648058954183,79.21557383750519,10.0,5.0,-23.805943518457536,#000000,#80FF00,True
1330,Rectangle,75.43367118900392,68.90436806930018,10.0,5.0,-14.499723154482567,#000000,#80FF00,True
1329,Rectangle,65.01150669367871,73.13107099178194,10.0,5.0,-55.267995214892935,#000000,#80FF00,True
1325,Rectangle,36.04876522536216,85.52341966159179,10.0,5.0,19.0,#000000,#80FF00,True
1324,Rectangle,25.34331613583504,81.98859290940493,10.0,5.0,21.32946151527979,#000000,#80FF00,True
1323,Rectangle,16.528664146486676,92.23001658515557,10.0,5.0,35.03031516359252,#000000,#80FF00,True
1322,Rectangle,8.23760999176585,84.93683698118548,10.0,5.0,47.513810236177676,#000000,#80FF00,True
1321,Rectangle,1.9857977549588668,75.31291760293266,10.0,5.0,76.9874531907558,#000000,#80FF00,True
1320,Rectangle,1.6273670695392752,63.79836762965215,10.0,5.0,94.66685837143892,#000000,#80FF00,True
1319,Rectangle,2.739463076461334,52.33112511397803,10.0,5.0,98.61965527615502,#000000,#80FF00,True
1318,Rectangle,5.397575805053066,41.57098002394366,10.0,5.0,105.9182488640676,#000000,#80FF00,True
1317,Rectangle,8.335108785596674,30.837275034558843,10.0,5.0,104.49646835521564,#000000,#80FF00,True
2051,Rectangle,168.28753491682255,106.50885835362453,10.0,10.0,178.8989018386145,#000000,#80FF00,True
2052,Rectangle,156.0809350743449,107.671966859745,10.0,10.0,167.00685023557065,#000000,#80FF00,True
2053,Rectangle,145.29675507855598,112.77690748266616,10.0,10.0,152.46607586967357,#000000,#80FF00,True
2054,Rectangle,133.9783650254314,116.98932402854382,10.0,10.0,171.57303097851937,#000000,#80FF00,True
2056,Rectangle,116.25049469308283,112.3959064951597,10.0,10.0,-162.87838513845136,#000000,#80FF00,True
2057,Rectangle,105.19170905101578,109.03846930663462,10.0,10.0,-161.90341381409684,#000000,#80FF00,True
2058,Rectangle,95.24839100163621,103.6042282323358,10.0,10.0,-158.3371937335425,#000000,#80FF00,True
94,Triangle,126.67763304709007,116.88613677304784,10.0,10.0,-66.0,#000000,#80FF00,True
95,Triangle,88.87554419470746,108.07827659385873,10.0,10.0,-114.0,#000000,#80FF00,True
2059,Rectangle,84.98919028252027,97.92151919062906,10.0,10.0,30.0,#000000,#80FF00,True
2060,Rectangle,87.50932747562786,84.8221756109815,10.0,10.0,58.03328043599526,#000000,#80FF00,True
2062,Rectangle,97.76803319818879,92.28096854071487,10.0,10.0,33.50515140086145,#000000,#80FF00,True
2063,Rectangle,107.74348231193801,97.34177323115625,10.0,10.0,32.3327626670015,#000000,#80FF00,True
2064,Rectangle,118.88171916455428,101.74897852949266,10.0,10.0,17.013204355642657,#000000,#80FF00,True
