Serial Number,Shape Type,X,Y,Width,Height,Rotation,Frame Color,Fill Color,Is Filled
346,Rectangle,290.87873627070104,478.11019377193344,5.0,10.0,83.0,#000000,#FF0000,True
345,Rectangle,275.0253476792128,476.26677649385334,5.0,10.0,67.0,#000000,#FF0000,True
344,Rectangle,285.4713789216663,473.07151987851466,5.0,10.0,75.0,#000000,#FF0000,True
343,Rectangle,296.654777075352,471.5967860560508,5.0,10.0,87.0,#000000,#FF0000,True
342,Rectangle,297.7608274421999,463.11706657688256,5.0,10.0,-1.0,#000000,#FF0000,True
341,Rectangle,259.37563776224187,472.82573090810416,10.0,10.0,-26.0,#000000,#FF0000,True
340,Rectangle,269.69877451949014,468.1557404703013,10.0,10.0,-22.0,#000000,#FF0000,True
339,Rectangle,280.51348921755954,464.8375893697572,10.0,10.0,-14.0,#000000,#FF0000,True
338,Rectangle,291.92264742676275,468.3731969076144,5.0,5.0,-10.0,#000000,#FF0000,True
337,Rectangle,295.21714616115224,486.03681270849074,5.0,10.0,45.0,#000000,#FF0000,True
336,Rectangle,322.24896329561017,473.7584694821755,5.0,10.0,25.0,#000000,#FF0000,True
334,Rectangle,265.24672633132366,480.9042458598368,5.0,10.0,61.0,#000000,#FF0000,True
333,Rectangle,272.21741239785126,493.262862474907,5.0,5.0,-26.0,#000000,#FF0000,True
332,Rectangle,284.24160054428955,491.8820985537132,5.0,10.0,75.0,#000000,#FF0000,True
329,Rectangle,299.8306240564747,480.4952722529324,5.0,5.0,12.0,#000000,#FF0000,True
316,Rectangle,314.5046867291817,465.13749297377296,10.0,5.0,-164.58641846249583,#000000,#FF0000,True
315,Rectangle,324.71690008761925,469.15044300059117,10.0,5.0,-154.519214200914,#000000,#FF0000,True
314,Rectangle,334.0542991151441,474.86407024085446,10.0,5.0,-145.77803322244546,#000000,#FF0000,True
313,Rectangle,256.65994395013206,455.55017218507487,10.0,5.0,140.23889135296292,#000000,#FF0000,True
312,Rectangle,266.98304036837516,451.29702746846897,10.0,5.0,161.39046324874096,#000000,#FF0000,True
311,Rectangle,277.4136468371222,447.69476689611923,10.0,5.0,164.7494944928668,#000000,#FF0000,True
310,Rectangle,288.69054300291225,445.9490543353291,10.0,5.0,177.82125448301937,#000000,#FF0000,True
309,Rectangle,299.35136834623154,445.94710206597074,10.0,5.0,178.85168603401522,#000000,#FF0000,True
308,Rectangle,310.69063518931586,446.7349194003288,10.0,5.0,-167.2070942556733,#000000,#FF0000,True
307,Rectangle,321.2333661606236,449.8703557497037,10.0,5.0,-159.18330384816474,#000000,#FF0000,True
306,Rectangle,330.5900298615532,457.3735837596867,10.0,5.0,-132.80506885989507,#000000,#FF0000,True
720,Rectangle,316.273496403851,424.5130756073762,10.0,10.0,-168.85640618081445,#000000,#FF0000,True
721,Rectangle,304.8669006034251,422.55253678966164,10.0,10.0,-175.90224500774104,#000000,#FF0000,True
722,Rectangle,292.4177727854955,423.1994514379583,10.0,10.0,174.362093632618,#000000,#FF0000,True
723,Rectangle,280.5808613831135,424.30390593869004,10.0,10.0,168.8881470803847,#000000,#FF0000,True
724,Rectangle,269.3634140059146,427.4417115058339,10.0,10.0,162.6889022133051,#000000,#FF0000,True
725,Rectangle,257.6112934698154,430.5110303324085,10.0,10.0,157.99051632375074,#000000,#FF0000,True
726,Rectangle,247.39759794607014,435.06203751902973,10.0,10.0,152.72024696427664,#000000,#FF0000,True
