Serial_Number,Type,X,Y,Width,Height,Rotation,Frame_Color,Fill_Color,Is_Filled
3815,Small,183.28659543902515,351.2425911363194,15.0,15.0,88.7955903668375,#16249a,#2f563c,True
3814,Small,306.5329300889619,687.1000791863761,15.0,15.0,50.99568132480828,#16249a,#1d1c21,True
3813,Small,296.54780748041327,673.9922462066354,15.0,15.0,51.8144713121583,#16249a,#1d1c21,True
3812,Small,286.7189869752863,660.8714040710676,15.0,15.0,52.93324866850927,#16249a,#1d1c21,True
3811,Small,277.3819693526991,647.2056836147552,15.0,15.0,52.61714346045028,#16249a,#1d1c21,True
3810,Small,267.5655476318188,634.1472213927436,15.0,15.0,54.06900715878766,#16249a,#1d1c21,True
3809,Small,258.2765586896405,620.4654377821372,15.0,15.0,54.91876511146307,#16249a,#1d1c21,True
3808,Small,249.13149166314707,607.021520014242,15.0,15.0,56.671823712860544,#16249a,#1d1c21,True
3807,Small,240.64576936881494,592.9926567839004,15.0,15.0,60.038771282976555,#16249a,#1d1c21,True
3806,Small,233.1367710239404,578.3954837589765,15.0,15.0,64.92042925723403,#16249a,#1d1c21,True
3805,Small,226.48784367024035,562.9473649996935,15.0,15.0,67.7688064243392,#16249a,#1d1c21,True
3804,Small,220.74087636929158,547.6050350364636,15.0,15.0,71.6062362664091,#16249a,#1d1c21,True
3803,Small,216.3651852318767,531.8023379152025,15.0,15.0,76.23369133178052,#16249a,#1d1c21,True
3802,Small,206.70958562656088,500.66790373573576,15.0,15.0,71.79500426437913,#16249a,#1d1c21,True
3801,Small,200.40103011654662,485.38280247116893,15.0,15.0,66.03519902762744,#16249a,#1d1c21,True
3800,Small,193.98997601882388,470.4550309869886,15.0,15.0,69.7024903452584,#16249a,#1d1c21,True
3799,Small,187.74282151032224,455.7253160014924,15.0,15.0,72.57415169002856,#16249a,#1d1c21,True
3798,Small,182.39304770827798,440.2357255353676,15.0,15.0,69.46333471291963,#16249a,#1d1c21,True
3797,Small,176.33513202504676,424.3868947604659,15.0,15.0,75.09488568005715,#16249a,#1d1c21,True
3796,Small,172.60479002960284,408.05127156508655,15.0,15.0,80.23649742931546,#16249a,#1d1c21,True
3795,Small,169.6628666019979,392.33020677707236,15.0,15.0,81.06896284873116,#16249a,#1d1c21,True
3794,Small,167.81775003704377,375.14062602531124,15.0,15.0,86.41908907915328,#16249a,#1d1c21,True
3793,Small,166.91997266962247,358.1949395803043,15.0,15.0,87.6225717314006,#16249a,#1d1c21,True
2279,Small,448.76955413227915,782.2196501867372,10.0,10.0,47.4506424829363,#1d1c21,#d9505b,True
2278,Small,442.43618794553726,773.2036136751188,10.0,10.0,49.44060893590482,#1d1c21,#d9505b,True
2277,Small,436.1397786076217,763.9693073935472,10.0,10.0,48.26926833641005,#1d1c21,#d9505b,True
2276,Small,429.403910547174,755.0064312482846,10.0,10.0,50.55548431141912,#1d1c21,#d9505b,True
2275,Small,422.61731543025013,745.6452322741641,10.0,10.0,44.951333930440256,#1d1c21,#e87d46,True
2274,Small,412.8971540247285,738.0754918330583,10.0,10.0,28.269131210193756,#1d1c21,#d9505b,True
2273,Small,402.5089883017463,733.023496028525,10.0,10.0,23.11309358620359,#1d1c21,#d9505b,True
2272,Small,392.62601107947336,727.9693900673842,10.0,10.0,26.108659135807052,#1d1c21,#d9505b,True
2271,Small,383.3276439643792,721.7764026443426,10.0,10.0,29.751675542440545,#1d1c21,#e87d46,True
2270,Small,371.4204010699521,717.8602077830697,10.0,10.0,26.938747463599555,#1d1c21,#d9505b,True
2269,Small,361.65492335054955,712.2735667377309,10.0,10.0,34.13114346551867,#1d1c21,#d9505b,True
2268,Small,354.54100282438947,703.603557344185,10.0,10.0,38.264647771917524,#1d1c21,#d9505b,True
2267,Small,363.5951145830917,697.7057155214867,5.0,10.0,-55.0,#1d1c21,#d9505b,True
2266,Small,361.376542954212,686.1186089839014,10.0,10.0,34.0,#1d1c21,#d9505b,True
2265,Small,431.568761193127,736.2276058316876,5.0,10.0,45.0,#1d1c21,#d9505b,True
2264,Small,370.11043508815914,704.4510382106779,10.0,10.0,-154.28504116778183,#1d1c21,#e87d46,True
2263,Small,381.7465355535761,709.0304905338683,10.0,10.0,-157.05924417826515,#1d1c21,#e87d46,True
2262,Small,391.7052018225592,713.5480624338438,10.0,10.0,-153.35985610115594,#1d1c21,#e87d46,True
2261,Small,401.1335510615142,719.7530256154101,10.0,10.0,-156.73463121878808,#1d1c21,#d9505b,True
