Serial_Number,Type,X,Y,Width,Height,Rotation,Frame_Color,Fill_Color,Is_Filled
49,Triangle,417.471679497835,562.3416433909458,10,10,-74.0,#1d1c21,,False
1395,Small,395.33888293217376,559.9804137434272,10.0,10.0,-162.71399321841645,#1d1c21,,False
1394,Small,406.63004925347127,559.9211186880169,10.0,10.0,-169.69093721097374,#1d1c21,,False
1393,Small,425.2113277073788,562.4855535116773,10.0,10.0,164.98163936884944,#1d1c21,,False
1392,Small,435.56108604635375,559.0027328441925,10.0,10.0,164.86416449625202,#1d1c21,,False
1389,Small,362.08882762243434,497.70096429169354,10.0,10.0,-117.04403120961568,#1d1c21,,False
1388,Small,367.65854536609686,507.56326905778405,10.0,10.0,-114.12098311944266,#1d1c21,,False
1387,Small,371.8112055967788,518.2506216288053,10.0,10.0,-111.93527445002042,#1d1c21,,False
1385,Small,375.9841088347818,497.8398770674583,10.0,10.0,-110.52125124159015,#1d1c21,,False
1384,Small,380.07353710025916,507.8352989411105,10.0,10.0,-107.08622672886551,#1d1c21,,False
1383,Small,383.6329923394573,518.5476948212935,10.0,10.0,-104.09839467642261,#1d1c21,,False
1382,Small,384.7248828491653,530.5397470498139,10.0,10.0,-84.68917952069278,#1d1c21,,False
1381,Small,382.81679447969714,541.8346972021219,10.0,10.0,-76.60750224624869,#1d1c21,,False
1380,Small,416.7049892124739,573.3933681212161,5.0,10.0,17.0,#653979,,False
1379,Small,422.84971347274063,574.4994184880644,5.0,10.0,19.0,#653979,,False
1378,Small,388.6850465856572,568.4876395779727,5.0,5.0,14.0,#653979,,False
1377,Small,386.8668681039243,573.9316743170165,5.0,10.0,13.0,#653979,,False
1376,Small,395.4160496834258,580.9940417087785,5.0,10.0,107.0,#653979,,False
1375,Small,393.56653089056186,572.351934242544,10.0,10.0,14.0,#653979,,False
1374,Small,405.49015342649653,570.8681401461229,10.0,10.0,8.0,#653979,,False
1373,Small,404.2530078649391,582.2020782363169,10.0,10.0,14.0,#653979,,False
1372,Small,379.9947586235668,553.1230527155054,10.0,10.0,12.0,#653979,,False
1371,Small,377.2756553553461,564.0611842003425,10.0,10.0,12.0,#653979,,False
1370,Small,426.84489778147076,637.8100311755213,10.0,10.0,-26.0,#1d1c21,,False
1369,Small,421.75026452225984,627.9489564951326,10.0,10.0,-20.0,#1d1c21,,False
48,Triangle,425.2690643094126,619.0557245995676,10,10,12.0,#1d1c21,,False
1368,Small,431.538484235487,622.5623493039822,10.0,10.0,-24.0,#1d1c21,,False
47,Triangle,423.9499461553849,575.7590155430763,10,10,152.0,#1d1c21,,False
1367,Small,415.31856823434356,585.370365636163,10.0,10.0,97.2971940439019,#1d1c21,,False
1365,Small,434.98515423375386,571.8793246211344,10.0,10.0,161.44236232923888,#1d1c21,,False
1364,Small,446.0572055300268,567.5062897294065,10.0,10.0,168.41416111391962,#1d1c21,,False
1362,Small,436.1928958663242,632.3694860961568,10.0,10.0,-24.0,#1d1c21,,False
1361,Small,432.522079500712,609.0496425059458,5.0,10.0,15.0,#1d1c21,,False
46,Triangle,375.1630255393325,586.318536779738,10,10,4.0,#1d1c21,,False
1360,Small,375.0004975826483,575.2666357252223,10.0,10.0,2.0,#1d1c21,,False
45,Triangle,385.7029909143904,585.99249236725,10,10,-34.0,#1d1c21,,False
1359,Small,377.0469445651451,593.0455671703387,10.0,10.0,50.0,#1d1c21,,False
1357,Small,385.7451012102839,602.235937368303,5.0,10.0,-51.0,#1d1c21,,False
1356,Small,391.3668237108105,589.3053002293069,10.0,10.0,18.0,#1d1c21,,False
1355,Small,401.62584160621253,593.3661614795701,10.0,10.0,20.0,#1d1c21,,False
1354,Small,412.84664242930836,596.6789693416271,10.0,10.0,10.0,#1d1c21,,False
1353,Small,422.3576069365041,605.1212861513848,10.0,10.0,14.0,#1d1c21,,False
1352,Small,415.1976673636715,614.6322506585805,10.0,10.0,10.0,#1d1c21,,False
1351,Small,403.97686654057554,612.0674961847301,10.0,10.0,16.0,#1d1c21,,False
1350,Small,393.0766600267107,608.5409587831856,10.0,10.0,22.0,#1d1c21,,False
44,Triangle,425.1430371598756,594.155624966052,10,10,-76.0,#1d1c21,,False
